Date,Time,Sensor T-H-G,Location,Value
10/03/19,06:40,23/5/45,5/43,
10/03/19,06:50,23/5/45,5/43,
10/03/19,07:00,23/5/45,5/43,
10/03/19,07:10,23/5/45,5/43,
10/03/19,07:20,23/5/45,5/43,
10/03/19,07:30,23/5/45,5/43,
10/03/19,07:40,23/5/45,5/43,
10/03/19,07:50,23/5/45,5/43,
10/03/19,08:00,23/5/45,5/43,
10/03/19,08:10,23/5/45,5/43,
10/03/19,08:20,23/5/45,5/43,
10/03/19,08:30,23/5/45,5/43,
10/03/19,08:40,23/5/45,5/43,
10/03/19,08:50,23/5/45,5/43,
10/03/19,09:00,23/5/45,5/43,
10/03/19,09:10,23/5/45,5/43,
10/03/19,09:20,23/5/45,5/43,
10/03/19,09:30,23/5/45,5/43,
10/03/19,09:40,23/5/45,5/43,
10/03/19,09:50,23/5/45,5/43,
10/03/19,10:00,23/5/45,5/43,
10/03/19,10:10,23/5/45,5/43,
10/03/19,10:20,23/5/45,5/43,
10/03/19,10:30,23/5/45,5/43,
10/03/19,10:40,23/5/45,5/43,
10/03/19,10:50,23/5/45,5/43,
10/03/19,11:00,23/5/45,5/43,
10/03/19,11:10,23/5/45,5/43,
10/03/19,11:20,23/5/45,5/43,
10/03/19,11:30,23/5/45,5/43,
10/03/19,11:40,23/5/45,5/43,
10/03/19,11:50,23/5/45,5/43,
10/03/19,12:00,23/5/45,5/43,
10/03/19,12:10,23/5/45,5/43,
10/03/19,12:20,23/5/45,5/43,
10/03/19,12:30,23/5/45,5/43,
10/03/19,12:40,23/5/45,5/43,
10/03/19,12:50,23/5/45,5/43,
10/03/19,13:00,23/5/45,5/43,
10/03/19,13:10,23/5/45,5/43,
10/03/19,13:20,23/5/45,5/43,
10/03/19,13:30,23/5/45,5/43,
10/03/19,13:40,23/5/45,5/43,
10/03/19,13:50,23/5/45,5/43,
10/03/19,14:00,23/5/45,5/43,
10/03/19,14:10,23/5/45,5/43,
10/03/19,14:20,23/5/45,5/43,
10/03/19,14:30,23/5/45,5/43,
10/03/19,14:40,23/5/45,5/43,
10/03/19,14:50,23/5/45,5/43,
10/03/19,15:00,23/5/45,5/43,
10/03/19,15:10,23/5/45,5/43,
10/03/19,15:20,23/5/45,5/43,
10/03/19,15:30,23/5/45,5/43,
10/03/19,15:40,23/5/45,5/43,
10/03/19,15:50,23/5/45,5/43,
10/03/19,16:00,23/5/45,5/43,
10/03/19,16:10,23/5/45,5/43,
10/03/19,16:20,23/5/45,5/43,
10/03/19,16:30,23/5/45,5/43,
10/03/19,16:40,23/5/45,5/43,
10/03/19,16:50,23/5/45,5/43,
10/03/19,17:00,23/5/45,5/43,
10/03/19,17:10,23/5/45,5/43,
10/03/19,17:20,23/5/45,5/43,
10/03/19,17:30,23/5/45,5/43,
10/03/19,17:40,23/5/45,5/43,
10/03/19,17:50,23/5/45,5/43,
10/03/19,18:00,23/5/45,5/43,
10/03/19,18:10,23/5/45,5/43,
10/03/19,18:20,23/5/45,5/43,
10/03/19,18:30,23/5/45,5/43,
10/03/19,18:40,23/5/45,5/43,
10/03/19,18:50,23/5/45,5/43,
10/03/19,19:00,23/5/45,5/43,
10/03/19,19:10,23/5/45,5/43,
10/03/19,19:20,23/5/45,5/43,
10/03/19,19:30,23/5/45,5/43,
10/03/19,19:40,23/5/45,5/43,
10/03/19,19:50,23/5/45,5/43,
10/03/19,20:00,23/5/45,5/43,
10/03/19,20:10,23/5/45,5/43,
10/03/19,20:20,23/5/45,5/43,
10/03/19,20:30,23/5/45,5/43,
10/03/19,20:40,23/5/45,5/43,
10/03/19,20:50,23/5/45,5/43,
10/03/19,21:00,23/5/45,5/43,
10/03/19,21:10,23/5/45,5/43,
10/03/19,21:20,23/5/45,5/43,
10/03/19,21:30,23/5/45,5/43,
10/03/19,21:40,23/5/45,5/43,
10/03/19,21:50,23/5/45,5/43,
10/03/19,22:00,23/5/45,5/43,
10/03/19,22:10,23/5/45,5/43,
10/03/19,22:20,23/5/45,5/43,
10/03/19,22:30,23/5/45,5/43,
10/03/19,22:40,23/5/45,5/43,
10/03/19,22:50,23/5/45,5/43,
10/03/19,23:00,23/5/45,5/43,
10/03/19,23:10,23/5/45,5/43,
10/03/19,23:20,23/5/45,5/43,
10/03/19,23:30,23/5/45,5/43,
10/03/19,23:40,23/5/45,5/43,
10/03/19,23:50,23/5/45,5/43,
11/03/19,00:00,23/5/45,5/43,
11/03/19,00:10,23/5/45,5/43,
11/03/19,00:20,23/5/45,5/43,
11/03/19,00:30,23/5/45,5/43,
11/03/19,00:40,23/5/45,5/43,
11/03/19,00:50,23/5/45,5/43,
11/03/19,01:00,23/5/45,5/43,
11/03/19,01:10,23/5/45,5/43,
11/03/19,01:20,23/5/45,5/43,
11/03/19,01:30,23/5/45,5/43,
11/03/19,01:40,23/5/45,5/43,
11/03/19,01:50,23/5/45,5/43,
11/03/19,02:00,23/5/45,5/43,
11/03/19,02:10,23/5/45,5/43,
11/03/19,02:20,23/5/45,5/43,
11/03/19,02:30,23/5/45,5/43,
11/03/19,02:40,23/5/45,5/43,
11/03/19,02:50,23/5/45,5/43,
11/03/19,03:00,23/5/45,5/43,
11/03/19,03:10,23/5/45,5/43,
11/03/19,03:20,23/5/45,5/43,
11/03/19,03:30,23/5/45,5/43,
11/03/19,03:40,23/5/45,5/43,
11/03/19,03:50,23/5/45,5/43,
11/03/19,04:00,23/5/45,5/43,
11/03/19,04:10,23/5/45,5/43,
11/03/19,04:20,23/5/45,5/43,
11/03/19,04:30,23/5/45,5/43,
11/03/19,04:40,23/5/45,5/43,
11/03/19,04:50,23/5/45,5/43,
11/03/19,05:00,23/5/45,5/43,
11/03/19,05:10,23/5/45,5/43,
11/03/19,05:20,23/5/45,5/43,
11/03/19,05:30,23/5/45,5/43,
11/03/19,05:40,23/5/45,5/43,
11/03/19,05:50,23/5/45,5/43,
11/03/19,06:00,23/5/45,5/43,
11/03/19,06:10,23/5/45,5/43,
11/03/19,06:20,23/5/45,5/43,
11/03/19,06:30,23/5/45,5/43,
11/03/19,06:40,23/5/45,5/43,
11/03/19,06:50,23/5/45,5/43,
11/03/19,07:00,23/5/45,5/43,
11/03/19,07:10,23/5/45,5/43,
11/03/19,07:20,23/5/45,5/43,
11/03/19,07:30,23/5/45,5/43,
11/03/19,07:40,23/5/45,5/43,
11/03/19,07:50,23/5/45,5/43,
11/03/19,08:00,23/5/45,5/43,
11/03/19,08:10,23/5/45,5/43,
11/03/19,08:20,23/5/45,5/43,
11/03/19,08:30,23/5/45,5/43,
11/03/19,08:40,23/5/45,5/43,
11/03/19,08:50,23/5/45,5/43,
11/03/19,09:00,23/5/45,5/43,
11/03/19,09:10,23/5/45,5/43,
11/03/19,09:20,23/5/45,5/43,
11/03/19,09:30,23/5/45,5/43,
11/03/19,09:40,23/5/45,5/43,
11/03/19,09:50,23/5/45,5/43,
11/03/19,10:00,23/5/45,5/43,
11/03/19,10:10,23/5/45,5/43,
11/03/19,10:20,23/5/45,5/43,
11/03/19,10:30,23/5/45,5/43,
11/03/19,10:40,23/5/45,5/43,
11/03/19,10:50,23/5/45,5/43,
11/03/19,11:00,23/5/45,5/43,
11/03/19,11:10,23/5/45,5/43,
11/03/19,11:20,23/5/45,5/43,
11/03/19,11:30,23/5/45,5/43,
11/03/19,11:40,23/5/45,5/43,
11/03/19,11:50,23/5/45,5/43,
11/03/19,12:00,23/5/45,5/43,
11/03/19,12:10,23/5/45,5/43,
11/03/19,12:20,23/5/45,5/43,
11/03/19,12:30,23/5/45,5/43,
11/03/19,12:40,23/5/45,5/43,
11/03/19,12:50,23/5/45,5/43,
11/03/19,13:00,23/5/45,5/43,
11/03/19,13:10,23/5/45,5/43,
11/03/19,13:20,23/5/45,5/43,
11/03/19,13:30,23/5/45,5/43,
11/03/19,13:40,23/5/45,5/43,
11/03/19,13:50,23/5/45,5/43,
11/03/19,14:00,23/5/45,5/43,
11/03/19,14:10,23/5/45,5/43,
11/03/19,14:20,23/5/45,5/43,
11/03/19,14:30,23/5/45,5/43,
11/03/19,14:40,23/5/45,5/43,
11/03/19,14:50,23/5/45,5/43,
11/03/19,15:00,23/5/45,5/43,
11/03/19,15:10,23/5/45,5/43,
11/03/19,15:20,23/5/45,5/43,
11/03/19,15:30,23/5/45,5/43,
11/03/19,15:40,23/5/45,5/43,
11/03/19,15:50,23/5/45,5/43,
11/03/19,16:00,23/5/45,5/43,
11/03/19,16:10,23/5/45,5/43,
11/03/19,16:20,23/5/45,5/43,
11/03/19,16:30,23/5/45,5/43,
11/03/19,16:40,23/5/45,5/43,
11/03/19,16:50,23/5/45,5/43,
11/03/19,17:00,23/5/45,5/43,
11/03/19,17:10,23/5/45,5/43,
11/03/19,17:20,23/5/45,5/43,
11/03/19,17:30,23/5/45,5/43,
11/03/19,17:40,23/5/45,5/43,
11/03/19,17:50,23/5/45,5/43,
11/03/19,18:00,23/5/45,5/43,
11/03/19,18:10,23/5/45,5/43,
11/03/19,18:20,23/5/45,5/43,
11/03/19,18:30,23/5/45,5/43,
11/03/19,18:40,23/5/45,5/43,
11/03/19,18:50,23/5/45,5/43,
11/03/19,19:00,23/5/45,5/43,
11/03/19,19:10,23/5/45,5/43,
11/03/19,19:20,23/5/45,5/43,
11/03/19,19:30,23/5/45,5/43,
11/03/19,19:40,23/5/45,5/43,
11/03/19,19:50,23/5/45,5/43,
11/03/19,20:00,23/5/45,5/43,
11/03/19,20:10,23/5/45,5/43,
11/03/19,20:20,23/5/45,5/43,
11/03/19,20:30,23/5/45,5/43,
11/03/19,20:40,23/5/45,5/43,
11/03/19,20:50,23/5/45,5/43,
11/03/19,21:00,23/5/45,5/43,
11/03/19,21:10,23/5/45,5/43,
11/03/19,21:20,23/5/45,5/43,
11/03/19,21:30,23/5/45,5/43,
11/03/19,21:40,23/5/45,5/43,
11/03/19,21:50,23/5/45,5/43,
11/03/19,22:00,23/5/45,5/43,
11/03/19,22:10,23/5/45,5/43,
11/03/19,22:20,23/5/45,5/43,
11/03/19,22:30,23/5/45,5/43,
11/03/19,22:40,23/5/45,5/43,
11/03/19,22:50,23/5/45,5/43,
11/03/19,23:00,23/5/45,5/43,
11/03/19,23:10,23/5/45,5/43,
11/03/19,23:20,23/5/45,5/43,
11/03/19,23:30,23/5/45,5/43,
11/03/19,23:40,23/5/45,5/43,
11/03/19,23:50,23/5/45,5/43,
12/03/19,00:00,23/5/45,5/43,
12/03/19,00:10,23/5/45,5/43,
12/03/19,00:20,23/5/45,5/43,
12/03/19,00:30,23/5/45,5/43,
12/03/19,00:40,23/5/45,5/43,
12/03/19,00:50,23/5/45,5/43,
12/03/19,01:00,23/5/45,5/43,
12/03/19,01:10,23/5/45,5/43,
12/03/19,01:20,23/5/45,5/43,
12/03/19,01:30,23/5/45,5/43,
12/03/19,01:40,23/5/45,5/43,
12/03/19,01:50,23/5/45,5/43,
12/03/19,02:00,23/5/45,5/43,
12/03/19,02:10,23/5/45,5/43,
12/03/19,02:20,23/5/45,5/43,
12/03/19,02:30,23/5/45,5/43,
12/03/19,02:40,23/5/45,5/43,
12/03/19,02:50,23/5/45,5/43,
12/03/19,03:00,23/5/45,5/43,
12/03/19,03:10,23/5/45,5/43,
12/03/19,03:20,23/5/45,5/43,
12/03/19,03:30,23/5/45,5/43,
12/03/19,03:40,23/5/45,5/43,
12/03/19,03:50,23/5/45,5/43,
12/03/19,04:00,23/5/45,5/43,
12/03/19,04:10,23/5/45,5/43,
12/03/19,04:20,23/5/45,5/43,
12/03/19,04:30,23/5/45,5/43,
12/03/19,04:40,23/5/45,5/43,
12/03/19,04:50,23/5/45,5/43,
12/03/19,05:00,23/5/45,5/43,
12/03/19,05:10,23/5/45,5/43,
12/03/19,05:20,23/5/45,5/43,
12/03/19,05:30,23/5/45,5/43,
12/03/19,05:40,23/5/45,5/43,
12/03/19,05:50,23/5/45,5/43,
12/03/19,06:00,23/5/45,5/43,
12/03/19,06:10,23/5/45,5/43,
12/03/19,06:20,23/5/45,5/43,
12/03/19,06:30,23/5/45,5/43,
12/03/19,06:40,23/5/45,5/43,
12/03/19,06:50,23/5/45,5/43,
12/03/19,07:00,23/5/45,5/43,
12/03/19,07:10,23/5/45,5/43,
12/03/19,07:20,23/5/45,5/43,
12/03/19,07:30,23/5/45,5/43,
12/03/19,07:40,23/5/45,5/43,
12/03/19,07:50,23/5/45,5/43,
12/03/19,08:00,23/5/45,5/43,
12/03/19,08:10,23/5/45,5/43,
12/03/19,08:20,23/5/45,5/43,
12/03/19,08:30,23/5/45,5/43,
12/03/19,08:40,23/5/45,5/43,
12/03/19,08:50,23/5/45,5/43,
12/03/19,09:00,23/5/45,5/43,
12/03/19,09:10,23/5/45,5/43,
12/03/19,09:20,23/5/45,5/43,
12/03/19,09:30,23/5/45,5/43,
12/03/19,09:40,23/5/45,5/43,
12/03/19,09:50,23/5/45,5/43,
12/03/19,10:00,23/5/45,5/43,
12/03/19,10:10,23/5/45,5/43,
12/03/19,10:20,23/5/45,5/43,
12/03/19,10:30,23/5/45,5/43,
12/03/19,10:40,23/5/45,5/43,
12/03/19,10:50,23/5/45,5/43,
12/03/19,11:00,23/5/45,5/43,
12/03/19,11:10,23/5/45,5/43,
12/03/19,11:20,23/5/45,5/43,
12/03/19,11:30,23/5/45,5/43,
12/03/19,11:40,23/5/45,5/43,
12/03/19,11:50,23/5/45,5/43,
12/03/19,12:00,23/5/45,5/43,
12/03/19,12:10,23/5/45,5/43,
12/03/19,12:20,23/5/45,5/43,
12/03/19,12:30,23/5/45,5/43,
12/03/19,12:40,23/5/45,5/43,
12/03/19,12:50,23/5/45,5/43,
12/03/19,13:00,23/5/45,5/43,
12/03/19,13:10,23/5/45,5/43,
12/03/19,13:20,23/5/45,5/43,
12/03/19,13:30,23/5/45,5/43,
12/03/19,13:40,23/5/45,5/43,
12/03/19,13:50,23/5/45,5/43,
12/03/19,14:00,23/5/45,5/43,
12/03/19,14:10,23/5/45,5/43,
12/03/19,14:20,23/5/45,5/43,
12/03/19,14:30,23/5/45,5/43,
12/03/19,14:40,23/5/45,5/43,
12/03/19,14:50,23/5/45,5/43,
12/03/19,15:00,23/5/45,5/43,
12/03/19,15:10,23/5/45,5/43,
12/03/19,15:20,23/5/45,5/43,
12/03/19,15:30,23/5/45,5/43,
12/03/19,15:40,23/5/45,5/43,
12/03/19,15:50,23/5/45,5/43,
12/03/19,16:00,23/5/45,5/43,
12/03/19,16:10,23/5/45,5/43,
12/03/19,16:20,23/5/45,5/43,
12/03/19,16:30,23/5/45,5/43,
12/03/19,16:40,23/5/45,5/43,
12/03/19,16:50,23/5/45,5/43,
12/03/19,17:00,23/5/45,5/43,
12/03/19,17:10,23/5/45,5/43,
12/03/19,17:20,23/5/45,5/43,
12/03/19,17:30,23/5/45,5/43,
12/03/19,17:40,23/5/45,5/43,
12/03/19,17:50,23/5/45,5/43,
12/03/19,18:00,23/5/45,5/43,
12/03/19,18:10,23/5/45,5/43,
12/03/19,18:20,23/5/45,5/43,
12/03/19,18:30,23/5/45,5/43,
12/03/19,18:40,23/5/45,5/43,
12/03/19,18:50,23/5/45,5/43,
12/03/19,19:00,23/5/45,5/43,
12/03/19,19:10,23/5/45,5/43,
12/03/19,19:20,23/5/45,5/43,
12/03/19,19:30,23/5/45,5/43,
12/03/19,19:40,23/5/45,5/43,
12/03/19,19:50,23/5/45,5/43,
12/03/19,20:00,23/5/45,5/43,
12/03/19,20:10,23/5/45,5/43,
12/03/19,20:20,23/5/45,5/43,
12/03/19,20:30,23/5/45,5/43,
12/03/19,20:40,23/5/45,5/43,
12/03/19,20:50,23/5/45,5/43,
12/03/19,21:00,23/5/45,5/43,
12/03/19,21:10,23/5/45,5/43,
12/03/19,21:20,23/5/45,5/43,
12/03/19,21:30,23/5/45,5/43,
12/03/19,21:40,23/5/45,5/43,
12/03/19,21:50,23/5/45,5/43,
12/03/19,22:00,23/5/45,5/43,
12/03/19,22:10,23/5/45,5/43,
12/03/19,22:20,23/5/45,5/43,
12/03/19,22:30,23/5/45,5/43,
12/03/19,22:40,23/5/45,5/43,
12/03/19,22:50,23/5/45,5/43,
12/03/19,23:00,23/5/45,5/43,
12/03/19,23:10,23/5/45,5/43,
12/03/19,23:20,23/5/45,5/43,
12/03/19,23:30,23/5/45,5/43,
12/03/19,23:40,23/5/45,5/43,
12/03/19,23:50,23/5/45,5/43,
13/03/2019,00:00,23/5/45,5/43,
13/03/2019,00:10,23/5/45,5/43,
13/03/2019,00:20,23/5/45,5/43,
13/03/2019,00:30,23/5/45,5/43,
13/03/2019,00:40,23/5/45,5/43,
13/03/2019,00:50,23/5/45,5/43,
13/03/2019,01:00,23/5/45,5/43,
13/03/2019,01:10,23/5/45,5/43,
13/03/2019,01:20,23/5/45,5/43,
13/03/2019,01:30,23/5/45,5/43,
13/03/2019,01:40,23/5/45,5/43,
13/03/2019,01:50,23/5/45,5/43,
13/03/2019,02:00,23/5/45,5/43,
13/03/2019,02:10,23/5/45,5/43,
13/03/2019,02:20,23/5/45,5/43,
13/03/2019,02:30,23/5/45,5/43,
13/03/2019,02:40,23/5/45,5/43,
13/03/2019,02:50,23/5/45,5/43,
13/03/2019,03:00,23/5/45,5/43,
13/03/2019,03:10,23/5/45,5/43,
13/03/2019,03:20,23/5/45,5/43,
13/03/2019,03:30,23/5/45,5/43,
13/03/2019,03:40,23/5/45,5/43,
13/03/2019,03:50,23/5/45,5/43,
13/03/2019,04:00,23/5/45,5/43,
13/03/2019,04:10,23/5/45,5/43,
13/03/2019,04:20,23/5/45,5/43,
13/03/2019,04:30,23/5/45,5/43,
13/03/2019,04:40,23/5/45,5/43,
13/03/2019,04:50,23/5/45,5/43,
13/03/2019,05:00,23/5/45,5/43,
13/03/2019,05:10,23/5/45,5/43,
13/03/2019,05:20,23/5/45,5/43,
13/03/2019,05:30,23/5/45,5/43,
13/03/2019,05:40,23/5/45,5/43,
13/03/2019,05:50,23/5/45,5/43,
13/03/2019,06:00,23/5/45,5/43,
13/03/2019,06:10,23/5/45,5/43,
13/03/2019,06:20,23/5/45,5/43,
13/03/2019,06:30,23/5/45,5/43,
13/03/2019,06:40,23/5/45,5/43,
13/03/2019,06:50,23/5/45,5/43,
13/03/2019,07:00,23/5/45,5/43,
13/03/2019,07:10,23/5/45,5/43,
13/03/2019,07:20,23/5/45,5/43,
13/03/2019,07:30,23/5/45,5/43,
13/03/2019,07:40,23/5/45,5/43,
13/03/2019,07:50,23/5/45,5/43,
13/03/2019,08:00,23/5/45,5/43,
13/03/2019,08:10,23/5/45,5/43,
13/03/2019,08:20,23/5/45,5/43,
13/03/2019,08:30,23/5/45,5/43,
13/03/2019,08:40,23/5/45,5/43,
13/03/2019,08:50,23/5/45,5/43,
13/03/2019,09:00,23/5/45,5/43,
13/03/2019,09:10,23/5/45,5/43,
13/03/2019,09:20,23/5/45,5/43,
13/03/2019,09:30,23/5/45,5/43,
13/03/2019,09:40,23/5/45,5/43,
13/03/2019,09:50,23/5/45,5/43,
13/03/2019,10:00,23/5/45,5/43,
13/03/2019,10:10,23/5/45,5/43,
13/03/2019,10:20,23/5/45,5/43,
13/03/2019,10:30,23/5/45,5/43,
13/03/2019,10:40,23/5/45,5/43,
13/03/2019,10:50,23/5/45,5/43,
13/03/2019,11:00,23/5/45,5/43,
13/03/2019,11:10,23/5/45,5/43,
13/03/2019,11:20,23/5/45,5/43,
13/03/2019,11:30,23/5/45,5/43,
13/03/2019,11:40,23/5/45,5/43,
13/03/2019,11:50,23/5/45,5/43,
13/03/2019,12:00,23/5/45,5/43,
13/03/2019,12:10,23/5/45,5/43,
13/03/2019,12:20,23/5/45,5/43,
13/03/2019,12:30,23/5/45,5/43,
13/03/2019,12:40,23/5/45,5/43,
13/03/2019,12:50,23/5/45,5/43,
13/03/2019,13:00,23/5/45,5/43,
13/03/2019,13:10,23/5/45,5/43,
13/03/2019,13:20,23/5/45,5/43,
13/03/2019,13:30,23/5/45,5/43,
13/03/2019,13:40,23/5/45,5/43,
13/03/2019,13:50,23/5/45,5/43,
13/03/2019,14:00,23/5/45,5/43,
13/03/2019,14:10,23/5/45,5/43,
13/03/2019,14:20,23/5/45,5/43,
13/03/2019,14:30,23/5/45,5/43,
13/03/2019,14:40,23/5/45,5/43,
13/03/2019,14:50,23/5/45,5/43,
13/03/2019,15:00,23/5/45,5/43,
13/03/2019,15:10,23/5/45,5/43,
13/03/2019,15:20,23/5/45,5/43,
13/03/2019,15:30,23/5/45,5/43,
13/03/2019,15:40,23/5/45,5/43,
13/03/2019,15:50,23/5/45,5/43,
13/03/2019,16:00,23/5/45,5/43,
13/03/2019,16:10,23/5/45,5/43,
13/03/2019,16:20,23/5/45,5/43,
13/03/2019,16:30,23/5/45,5/43,
13/03/2019,16:40,23/5/45,5/43,
13/03/2019,16:50,23/5/45,5/43,
13/03/2019,17:00,23/5/45,5/43,
13/03/2019,17:10,23/5/45,5/43,
13/03/2019,17:20,23/5/45,5/43,
13/03/2019,17:30,23/5/45,5/43,
13/03/2019,17:40,23/5/45,5/43,
13/03/2019,17:50,23/5/45,5/43,
13/03/2019,18:00,23/5/45,5/43,
13/03/2019,18:10,23/5/45,5/43,
13/03/2019,18:20,23/5/45,5/43,
13/03/2019,18:30,23/5/45,5/43,
13/03/2019,18:40,23/5/45,5/43,
13/03/2019,18:50,23/5/45,5/43,
13/03/2019,19:00,23/5/45,5/43,
13/03/2019,19:10,23/5/45,5/43,
13/03/2019,19:20,23/5/45,5/43,
13/03/2019,19:30,23/5/45,5/43,
13/03/2019,19:40,23/5/45,5/43,
13/03/2019,19:50,23/5/45,5/43,
13/03/2019,20:00,23/5/45,5/43,
13/03/2019,20:10,23/5/45,5/43,
13/03/2019,20:20,23/5/45,5/43,
13/03/2019,20:30,23/5/45,5/43,
13/03/2019,20:40,23/5/45,5/43,
13/03/2019,20:50,23/5/45,5/43,
13/03/2019,21:00,23/5/45,5/43,
13/03/2019,21:10,23/5/45,5/43,
13/03/2019,21:20,23/5/45,5/43,
13/03/2019,21:30,23/5/45,5/43,
13/03/2019,21:40,23/5/45,5/43,
13/03/2019,21:50,23/5/45,5/43,
13/03/2019,22:00,23/5/45,5/43,
13/03/2019,22:10,23/5/45,5/43,
13/03/2019,22:20,23/5/45,5/43,
13/03/2019,22:30,23/5/45,5/43,
13/03/2019,22:40,23/5/45,5/43,
13/03/2019,22:50,23/5/45,5/43,
13/03/2019,23:00,23/5/45,5/43,
13/03/2019,23:10,23/5/45,5/43,
13/03/2019,23:20,23/5/45,5/43,
13/03/2019,23:30,23/5/45,5/43,
13/03/2019,23:40,23/5/45,5/43,
13/03/2019,23:50,23/5/45,5/43,
14/03/2019,00:00,23/5/45,5/43,
14/03/2019,00:10,23/5/45,5/43,
14/03/2019,00:20,23/5/45,5/43,
14/03/2019,00:30,23/5/45,5/43,
14/03/2019,00:40,23/5/45,5/43,
14/03/2019,00:50,23/5/45,5/43,
14/03/2019,01:00,23/5/45,5/43,
14/03/2019,01:10,23/5/45,5/43,
14/03/2019,01:20,23/5/45,5/43,
14/03/2019,01:30,23/5/45,5/43,
14/03/2019,01:40,23/5/45,5/43,
14/03/2019,01:50,23/5/45,5/43,
14/03/2019,02:00,23/5/45,5/43,
14/03/2019,02:10,23/5/45,5/43,
14/03/2019,02:20,23/5/45,5/43,
14/03/2019,02:30,23/5/45,5/43,
14/03/2019,02:40,23/5/45,5/43,
14/03/2019,02:50,23/5/45,5/43,
14/03/2019,03:00,23/5/45,5/43,
14/03/2019,03:10,23/5/45,5/43,
14/03/2019,03:20,23/5/45,5/43,
14/03/2019,03:30,23/5/45,5/43,
14/03/2019,03:40,23/5/45,5/43,
14/03/2019,03:50,23/5/45,5/43,
14/03/2019,04:00,23/5/45,5/43,
14/03/2019,04:10,23/5/45,5/43,
14/03/2019,04:20,23/5/45,5/43,
14/03/2019,04:30,23/5/45,5/43,
14/03/2019,04:40,23/5/45,5/43,
14/03/2019,04:50,23/5/45,5/43,
14/03/2019,05:00,23/5/45,5/43,
14/03/2019,05:10,23/5/45,5/43,
14/03/2019,05:20,23/5/45,5/43,
14/03/2019,05:30,23/5/45,5/43,
14/03/2019,05:40,23/5/45,5/43,
14/03/2019,05:50,23/5/45,5/43,
14/03/2019,06:00,23/5/45,5/43,
14/03/2019,06:10,23/5/45,5/43,
14/03/2019,06:20,23/5/45,5/43,
14/03/2019,06:30,23/5/45,5/43,
14/03/2019,06:40,23/5/45,5/43,
14/03/2019,06:50,23/5/45,5/43,
14/03/2019,07:00,23/5/45,5/43,
14/03/2019,07:10,23/5/45,5/43,
14/03/2019,07:20,23/5/45,5/43,
14/03/2019,07:30,23/5/45,5/43,
14/03/2019,07:40,23/5/45,5/43,
14/03/2019,07:50,23/5/45,5/43,
14/03/2019,08:00,23/5/45,5/43,
14/03/2019,08:10,23/5/45,5/43,
14/03/2019,08:20,23/5/45,5/43,
14/03/2019,08:30,23/5/45,5/43,
14/03/2019,08:40,23/5/45,5/43,
14/03/2019,08:50,23/5/45,5/43,
